player_name,rank_tier,lp,region_rank,match_history_ids
我是LJW的爸爸#LJW,Master,220.0,31.0,"SG2_41409794,SG2_41407108,SG2_41402600,SG2_41394794,SG2_41390908,SG2_41383517,SG2_41381541,SG2_41347932,SG2_41243390,SG2_41239899,SG2_41211085,SG2_41201763,SG2_41198884,SG2_41196757,SG2_41181176,SG2_41180093,SG2_41174611,SG2_41123795,SG2_41096559,SG2_41059814,SG2_41059359,SG2_41060017,SG2_41054720,SG2_41041230,SG2_41039191,SG2_41036392,SG2_41017520,SG2_41014650,SG2_41014038,SG2_41010681,SG2_40990277,SG2_40988763,SG2_40987282,SG2_40982667,SG2_40979951,SG2_40929720,SG2_40929234,SG2_40927677,SG2_40927020,SG2_40875362"
Dawn of us#6114,Master,201.0,32.0,"SG2_41439424,SG2_41437313,SG2_41434732,SG2_41435102,SG2_41430771,SG2_41428635,SG2_41428268,SG2_41402180,SG2_41400137,SG2_41396171,SG2_41390532,SG2_41385998,SG2_41336743,SG2_41332889,SG2_41332150,SG2_41323115,SG2_41317923,SG2_41285551,SG2_41285267,SG2_41262169,SG2_41256331,SG2_41244072,SG2_41239634,SG2_41239192,SG2_41236897,SG2_41236261,SG2_41225204,SG2_41224531,SG2_41221477,SG2_41221160,SG2_41192916,SG2_41130984,SG2_41132326,SG2_41126510,SG2_41116643,SG2_41114359,SG2_41109959,SG2_41109393,SG2_41109134,SG2_41107923"
BIGMOMMA#farts,Master,198.0,33.0,"SG2_40970059,SG2_40875349,SG2_40869936,SG2_40871209,SG2_40866645,SG2_40866021,SG2_40795919,SG2_40794497,SG2_40789909,SG2_40789293,SG2_40772071,SG2_40768478,SG2_40762812,SG2_40762060,SG2_40745223,SG2_40738774,SG2_40731984,SG2_40707646,SG2_40703899,SG2_40648416,SG2_40646361,SG2_40642353,SG2_40606480,SG2_40603811,SG2_40603470,SG2_40599938,SG2_40563581,SG2_40559851,SG2_40559126,SG2_40508453,SG2_40506639,SG2_40501786,SG2_40502196,SG2_40496669,SG2_40496011,SG2_40486220,SG2_40483737,SG2_40460635,SG2_40457864,SG2_40459147"
nicetry#5171,Master,195.0,34.0,"SG2_41440492,SG2_41412231,SG2_41409374,SG2_41406079,SG2_41389985,SG2_41388538,SG2_41385875,SG2_41383901,SG2_41381936,SG2_41382011,SG2_41378521,SG2_41373228,SG2_41366848,SG2_41314247,SG2_41310840,SG2_41309355,SG2_41308033,SG2_41302752,SG2_41300891,SG2_41296720,SG2_41295088,SG2_41292378,SG2_41288465,SG2_41285267,SG2_41281835,SG2_41146955,SG2_41090973,SG2_41090551,SG2_41075897,SG2_41076229,SG2_41072531,SG2_41069443,SG2_41069052,SG2_41063505,SG2_40978551,SG2_40975835,SG2_40974296,SG2_40972435,SG2_40965667,SG2_40963829"
BLG BIN#6195,Master,191.0,35.0,"SG2_41135730,SG2_41129746,SG2_41130146,SG2_41126510,SG2_41123795,SG2_41123106,SG2_41119544,SG2_41023384,SG2_41019776,SG2_41017520,SG2_41017210,SG2_41014398,SG2_40932117,SG2_40929234,SG2_40913790,SG2_40909915,SG2_40909235,SG2_40905651,SG2_40903828,SG2_40902626,SG2_40901370,SG2_40898369,SG2_40896445,SG2_40894543,SG2_40893053,SG2_40890401,SG2_40875062,SG2_40872180,SG2_40871162,SG2_40866631,SG2_40866024,SG2_40864082,SG2_40858412,SG2_40853882,SG2_40851447,SG2_40851007,SG2_40845823,SG2_40845310,SG2_40825651,SG2_40823991"
Squirrel#958,Master,177.0,36.0,"SG2_41375077,SG2_41373033,SG2_41370070,SG2_41259751,SG2_41256794,SG2_41253510,SG2_41237698,SG2_41224531,SG2_41224219,SG2_41072531,SG2_41071041,SG2_41064558,SG2_40975835,SG2_40960164,SG2_40905651,SG2_40906129,SG2_40902188,SG2_40898642,SG2_40858668,SG2_40854898,SG2_40735405,SG2_40730864,SG2_40732416,SG2_40577153,SG2_40573811,SG2_40573285,SG2_40524567,SG2_40523778,SG2_40523544,SG2_40260681,SG2_40252564,SG2_40253417,SG2_40251103,SG2_40247680,SG2_40244597,SG2_40223321,SG2_40218782,SG2_40214826,SG2_40217179,SG2_40208935"
碇真嗣#0599,Master,162.0,37.0,"SG2_41418313,SG2_41417244,SG2_41416061,SG2_41412231,SG2_41407691,SG2_41403959,SG2_41398646,SG2_41389985,SG2_41384694,SG2_41381936,SG2_41349032,SG2_41343981,SG2_41256131,SG2_41252390,SG2_41246305,SG2_41243390,SG2_41239588,SG2_41235777,SG2_41221477,SG2_41217535,SG2_41183726,SG2_41124571,SG2_41119913,SG2_41101257,SG2_41097468,SG2_41095768,SG2_41058942,SG2_41050552,SG2_41052219,SG2_41049519,SG2_41046412,SG2_41033096,SG2_41023951,SG2_41017998,SG2_41006973,SG2_41001745,SG2_41001232,SG2_40999653,SG2_40998372,SG2_40994145"
嘉莉大美女#Jiali,Master,160.0,38.0,"SG2_41181176,SG2_41179349,SG2_41080476,SG2_40963995,SG2_40960810,SG2_40739307,SG2_40739167,SG2_40705016,SG2_40702096,SG2_40699177,SG2_40494366,SG2_40361337,SG2_40353917,SG2_40355470,SG2_40268348,SG2_39515611,SG2_39460844,SG2_39416859,SG2_39416003,SG2_39407561,SG2_39402906,SG2_39405343,SG2_39379259,SG2_39371432,SG2_39372031,SG2_39370557,SG2_39365146,SG2_39292880,SG2_39254253,SG2_39247968,SG2_39248719,SG2_39245353,SG2_39244022,SG2_39240239,SG2_38754622,SG2_38609826,SG2_38613350,SG2_38501274,SG2_38500188,SG2_38446949"
口合口合口合口合口合口合口合口合#哈哈哈哈哈,Master,155.0,39.0,"SG2_41441121,SG2_41435998,SG2_41339281,SG2_41313034,SG2_41306967,SG2_41259948,SG2_41073343,SG2_41071177,SG2_41066660,SG2_41066220,SG2_41062821,SG2_41064190,SG2_41058635,SG2_41042173,SG2_41038527,SG2_41036392,SG2_41031424,SG2_41026170,SG2_41025106,SG2_41018240,SG2_41009509,SG2_41006659,SG2_41002800,SG2_40992391,SG2_40990128,SG2_40987374,SG2_40985187,SG2_40977480,SG2_40825651,SG2_40816190,SG2_40801941,SG2_40798973,SG2_40799533,SG2_40795919,SG2_40796266,SG2_40771487,SG2_40772071,SG2_40768478,SG2_40762812,SG2_40764188"
Somniphobia#SG2,Master,155.0,40.0,"SG2_41389985,SG2_41388538,SG2_41385875,SG2_41384694,SG2_41376684,SG2_41374276,SG2_41370622,SG2_41366818,SG2_41366427,SG2_41362870,SG2_41363021,SG2_41359389,SG2_41181374,SG2_41180629,SG2_41180093,SG2_41175446,SG2_41171935,SG2_41169389,SG2_41167685,SG2_41119544,SG2_41119189,SG2_41115888,SG2_41114496,SG2_41114154,SG2_41111723,SG2_41111457,SG2_41107923,SG2_41108559,SG2_41105253,SG2_41050552,SG2_41052219,SG2_41049519,SG2_41046412,SG2_40995350,SG2_40993649,SG2_40993025,SG2_40990277,SG2_40989191,SG2_40986281,SG2_40822147"
